기능명,주 기능,상세 기능,설명,우선순위,비고,기능,최종 편집자
취소 시 채팅 알림,자세히보기,,"취소 건에 대한 상세 내역 ",중,,pay,"야옹 "
플랫폼,송금 하기,계약금 보내기,구매자가 플랫폼으로 보내준 금액을 조립자에게 전달,상,,pay,"야옹 "
쿠폰,수수료 면제 쿠폰,,"뽑기,,,,",추후 개발,,pay,"야옹 "
견적 게시판 목록,견적 게시글,제목/작성시간/작성자/상태,최신순으로 정렬,중,,board,K.Kyuri
견적 게시글 상세,상세 정보,제목/작성시간/작성자/상태/글 내용,,중,,board,서성우
,1:1 채팅,,"조립자가 구매자에게 1:1 채팅 가능, 페이지 이동",중,,board,서성우
견적 요청 글쓰기,상품 옵션 선택,"카테고리 별 상품 목록
(사진/이름/가격)","전체 상품 목록(찜한 상품 상단 출력), 필수 입력X",상,"하우징, 스위치, 키캡, 기판, 보강판, 스테빌라이저, 흡음재",board,K.Kyuri
,,,하우징 1차 선택,추후 개발,"하우징 재질(알루미늄, 스테인리스, 플라스틱)-하우징 배열(NUM , 60/65%, 75%, 80%, , 99%, 100%, 기타)",board,김주찬
,,,스위치 1차 선택,추후 개발,"클릭, 논클릭, 리니어, 저소음",board,김주찬
,,,스테빌라이저 1차 선택,추후 개발,"보강용, 무보강용",board,김주찬
,,,흡음재 1차 선택,추후 개발,"기보강폼, 하부폼",board,김주찬
,요청 추가 텍스트,,,상,,board,K.Kyuri
프로필,이름,,,하,,mypage,K.Kyuri
,프로필 사진,,,하,,mypage,K.Kyuri
,팔로워/팔로잉,사진/이름/취소,목록 확인 가능,하,,mypage,K.Kyuri
,당도,당도,당도 당도 당도!,하,,mypage,K.Kyuri
피드,게시물 목록,,내가 작성한 피드의 게시물을 확인할 수 있음,중,,mypage,K.Kyuri
견적 게시물,게시물 정보,제목/날짜/조립자이름,내가 작성한 견적게시판의 게시물을 확인할 수 있음,상,,mypage,김주찬
,게시물 상태,"예약중/거래완료 ",구매자가 상태 변경,상,,mypage,"야옹 "
,조립 후기,별점 모달,"상태를 거래완료로 변경한다면, 후기 버튼 활성화",중,,mypage,K.Kyuri
설정,정보 수정,닉네임 변경,닉네임 중복확인,하,,mypage,K.Kyuri
,,프로필 사진 변경,핸드폰 사진첩 연결하여 프로필 사진 변경할 수 있음,하,,mypage,K.Kyuri
,계좌 연결 설정,,,중,,mypage,K.Kyuri
,로그 아웃,,,하,,mypage,K.Kyuri
,회원 탈퇴,,,하,,mypage,K.Kyuri
,알림 설정,,,추후 개발,,mypage,K.Kyuri
알림,좋아요 알림,,나의 피드 좋아요에 대한 알림,하,,notification,김주찬
,댓글 알림,,나의 피드 댓글에 대한 알림,하,,notification,김주찬
,팔로잉 피드 알림,,팔로잉의 새로운 피드에 대한 알림,하,,notification,김주찬
상단 아이콘 조회,북마크한 게시물 리스트 출력,,,,,sns,"야옹 "
,찜한 게시물 리스트 출력,,,,,sns,"야옹 "
,알림 리스트 출력,,,,,sns,"야옹 "
,게시물 제목,,,하,,chat,"야옹 "
,프로필 사진 설정,,,하,,login,"야옹 "
,관심 해시태그 선택,,,하,,login,"야옹 "
,채팅 시간 표시,,채팅 전송한 시간,상,,chat,"야옹 "
,읽음표시,메시지 읽음 표시,,추후 개발,,chat,서성우
,"대표 이미지 ",,없을시 기본사진,하,,chat,"야옹 "
,채팅 내용 표시,,무한 스크롤,상,,chat,"야옹 "
,,제품 이미지,슬라이드로 확인,상,,product,"야옹 "
,,공유하기,앱 내 상세페이지 링크 공유,하,,product,"야옹 "
,,스토어링크,판매 스토어 링크 안내,중,,product,"야옹 "
,최근 검색어,,,하,,search,"야옹 "
검색 시,연관 검색어 실시간 출력,,한 모음/자음 별로 관련 단어,추후 개발,협의 필요,search,"야옹 "
검색 완료 시,피드 탭,,피드 게시물의 이미지만 출력,상,우선 출력,search,"야옹 "
,언급 알림,,댓글에 언급 알림,추후 개발,,notification,서성우
,조립 건수,,,,,mypage,서성우
,게시물 상세화면,,무한스크롤,,,mypage,서성우
,거래중인 견적 정보 표시,현재 진행중인 키보드 견적 표시,,상,,chat,서성우
